gen,nevals,avg,std,min,max
0,10,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,29,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,25,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,28,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,29,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,27,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,29,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,27,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,26,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,26,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,24,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,29,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,24,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,27,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,24,45.605000000000004,0.014999999999999148,45.6,45.65
0,0,45.605000000000004,0.014999999999999148,45.6,45.65
1,26,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,27,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,26,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,25,45.61,0.019999999999998862,45.6,45.65
0,0,45.61,0.019999999999998862,45.6,45.65
1,28,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,25,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,28,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,29,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,26,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,25,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,25,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,29,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,30,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,27,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,27,45.60000000000001,7.105427357601002e-15,45.6,45.6
0,0,45.60000000000001,7.105427357601002e-15,45.6,45.6
1,27,45.60000000000001,7.105427357601002e-15,45.6,45.6
